title,date,category,link
Eye Care Clinics Agree To Pay Combined $520K Over Illegal Medicaid Billing,2026-01-15,State Enforcement Agencies,/fraud/enforcement/eye-care-clinics-agree-to-pay-combined-520k-over-illegal-medicaid-billing/
Attorney General Ellison Announces Over $3 Million In Fraud Charges Against Medicaid Provider,2026-01-14,State Enforcement Agencies,/fraud/enforcement/attorney-general-ellison-announces-over-3-million-in-fraud-charges-against-medicaid-provider/
Attorney General James Announces Conviction and Sentencing of Suffolk County Transportation Company Owner for Stealing Over $1 Million from Medicaid,2026-01-14,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-announces-conviction-and-sentencing-of-suffolk-county-transportation-company-owner-for-stealing-over-1-million-from-medicaid/
"Attorney General Alan Wilson Announces Chesnee Man Charged With Stealing More Than $17,000 From Assisted Living Resident",2026-01-14,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-chesnee-man-charged-with-stealing-more-than-17000-from-assisted-living-resident/
Attorney General Alan Wilson Announces Former Assisted Living Facility Employee Charged With Stealing From Resident,2026-01-14,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-former-assisted-living-facility-employee-charged-with-stealing-from-resident/
Attor­ney Gen­er­al Ken Pax­ton Arrests Over 120 Peo­ple and Col­lects Over $125 Mil­lion from Health­care Fraud­sters in 2025 Alone,2026-01-14,State Enforcement Agencies,/fraud/enforcement/attorney-general-ken-paxton-arrests-over-120-people-and-collects-over-125-million-from-healthcare-fraudsters-in-2025-alone/
Carr: Warner Robins Woman Convicted of Defrauding Georgia Medicaid of $5.4 Million,2026-01-13,State Enforcement Agencies,/fraud/enforcement/carr-warner-robins-woman-convicted-of-defrauding-georgia-medicaid-of-54-million/
AG Sunday’s Medicaid Fraud Control Section Secures Prison Sentence for Office Manager in Montgomery County-Based Company’s $1.76 Million Fraud Scheme,2026-01-13,State Enforcement Agencies,/fraud/enforcement/ag-sundays-medicaid-fraud-control-section-secures-prison-sentence-for-office-manager-in-montgomery-county-based-companys-176-million-fraud-scheme/
Attorney General Announces Home Care Aide Charged With Sexually Assaulting Minor And Vulnerable Adult,2026-01-12,State Enforcement Agencies,/fraud/enforcement/attorney-general-announces-home-care-aide-charged-with-sexually-assaulting-minor-and-vulnerable-adult/
"Attorney General Alan Wilson Announces Upstate Woman Charged With Stealing Almost $21,000 From Nursing Home Resident",2026-01-02,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-stealing-almost-21000-from-nursing-home-resident/
Attorney General Ford Announces Sentencing of Brothers Behavioral Health and Its Owner,2025-12-29,State Enforcement Agencies,/fraud/enforcement/attorney-general-ford-announces-sentencing-of-brothers-behavioral-health-and-its-owner/
"Attorney General James Secures Over $616,000 from New York-Presbyterian Hudson Valley Hospital for Illegal Kickback Scheme",2025-12-23,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-secures-over-616000-from-new-york-presbyterian-hudson-valley-hospital-for-illegal-kickback-scheme/
Attorney General Alan Wilson Announces Arrest Of Woman Accused Of Stealing From Upstate Nursing Home Resident,2025-12-23,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-woman-accused-of-stealing-from-upstate-nursing-home-resident/
Attorney General Alan Wilson Announces Upstate Woman Charged With Unlicensed Nursing And Stealing Patient’s Medication,2025-12-23,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-unlicensed-nursing-and-stealing-patients-medication/
Baltimore County Dentist Sentenced for Illegal Opioid Distribution,2025-12-19,State Enforcement Agencies,/fraud/enforcement/baltimore-county-dentist-sentenced-for-illegal-opioid-distribution/
"AG's Office Secures Indictments Against Two Norfolk County Residents for Elder Neglect, Larceny, and Medicaid Fraud",2025-12-18,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-indictments-against-two-norfolk-county-residents-for-elder-neglect-larceny-and-medicaid-fraud/
Attorney General Ellison partners with federal law enforcement on indictments of Housing Stabilization Services and Early Intensive Developmental and Behavioral Intervention providers,2025-12-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-ellison-partners-with-federal-law-enforcement-on-indictments-of-housing-stabilization-services-and-early-intensive-developmental-and-behavioral-intervention-providers/
Attorney General James Secures $45 Million for Underpaid Home Health Aides,2025-12-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-secures-45-million-for-underpaid-home-health-aides/
"Attorney General James Secures Conviction of Nursing Home Worker for Stealing Over $60,000 from Resident",2025-12-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-secures-conviction-of-nursing-home-worker-for-stealing-over-60000-from-resident/
"Attorney General Alan Wilson announces Spartanburg woman charged with stealing more than $10,000 from vulnerable adult",2025-12-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-woman-charged-with-stealing-more-than-10000-from-vulnerable-adult/
"Attorney General Tong Announces $455,598 False Claims Settlement with Branford Nurse",2025-12-17,State Enforcement Agencies,/fraud/enforcement/attorney-general-tong-announces-455598-false-claims-settlement-with-branford-nurse/
Carr: Owners of Behavioral Health Facility Indicted in DeKalb County for Medicaid Fraud Totaling Over $1.4 Million,2025-12-16,State Enforcement Agencies,/fraud/enforcement/carr-owners-of-behavioral-health-facility-indicted-in-dekalb-county-for-medicaid-fraud-totaling-over-14-million/
Former Direct Support Professional Sentenced for Abuse and Neglect of a Vulnerable Adult,2025-12-16,State Enforcement Agencies,/fraud/enforcement/former-direct-support-professional-sentenced-for-abuse-and-neglect-of-a-vulnerable-adult/
Attorney General Jeff Jackson Announces Health Care Fraud Sentencing,2025-12-16,State Enforcement Agencies,/fraud/enforcement/attorney-general-jeff-jackson-announces-health-care-fraud-sentencing/
Missouri Man Sentenced to 10 Years in Prison for $174 Million Health Care Fraud Conspiracy,2025-12-12,Criminal and Civil Actions,/fraud/enforcement/missouri-man-sentenced-to-10-years-in-prison-for-174m-health-care-fraud-conspiracy/
Pharmacist Sentenced to Over Six Years in Prison for $6 Million Health Care Fraud Scheme,2025-12-12,Criminal and Civil Actions,/fraud/enforcement/pharmacist-sentenced-to-over-six-years-in-prison-for-6m-health-care-fraud-scheme/
Parkville Mother and Daughter Sentenced in $3.6 Million Medicaid Fraud Scheme,2025-12-12,State Enforcement Agencies,/fraud/enforcement/parkville-mother-and-daughter-sentenced-in-36-million-medicaid-fraud-scheme/
AG’s Office Secures Guilty Plea From Haverhill Defendant For Defrauding PCA Program,2025-12-10,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-guilty-plea-from-haverhill-defendant-for-defrauding-pca-program/
"Attorney General’s Medicaid Fraud and Vulnerable Victims Unit Secures a $400,000 Settlement and Corporate Oversight of Orchard Hill Rehabilitation and Health Care Center",2025-12-09,State Enforcement Agencies,/fraud/enforcement/attorney-generals-medicaid-fraud-and-vulnerable-victims-unit-secures-a-400000-settlement-and-corporate-oversight-of-orchard-hill-rehabilitation-and-healthcare-center/
Attorney General Ellison Files Charges Against Man Who Financially Exploited His Mother,2025-12-09,State Enforcement Agencies,/fraud/enforcement/attorney-general-ellison-files-charges-against-man-who-financially-exploited-his-mother/
Attorney General Alan Wilson Announces Two Dillon Co. Residents Charged With Stealing From Vulnerable Adult,2025-12-08,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-two-dillon-co-residents-charged-with-stealing-from-vulnerable-adult/
Attorney General Alan Wilson announces two Upstate Medicaid providers charged with fraud,2025-12-02,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-two-upstate-medicaid-providers-charged-with-fraud/
"Owner of Assisted Living Home, Jeffrey Hiett, Pleads Guilty to Medicaid Fraud",2025-12-01,State Enforcement Agencies,/fraud/enforcement/owner-of-assisted-living-home-jeffrey-hiett-pleads-guilty-to-medicaid-fraud/
"Attorney General Raoul Charges Cook County Physician For More Than $1 Million In Medicaid, Medicare Fraud",2025-11-20,State Enforcement Agencies,/fraud/enforcement/attorney-general-raoul-charges-cook-county-physician-for-more-than-1-million-in-medicaid-medicare-fraud/
Attorney General James Announces Felony Conviction of Nassau County Nursing Home Aide Who Sexually Assaulted Residents,2025-11-19,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-announces-felony-conviction-of-nassau-county-nursing-home-aide-who-sexually-assaulted-residents/
Attorney General Griffin Announces 2 Convictions and an Arrest Made by His Medicaid Fraud Control Unit,2025-11-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-griffin-announces-2-convictions-and-an-arrest-made-by-his-medicaid-fraud-control-unit/
AG’s Office Secures Guilty Plea From Dracut Physician Charged With Involuntary Manslaughter And Illegally Prescribing Opioids,2025-11-18,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-guilty-plea-from-dracut-physician-charged-with-involuntary-manslaughter-and-illegally-prescribing-opioids/
AG’s Office Secures Guilty Plea From Dracut Physician Charged With Involuntary Manslaughter And Illegally Prescribing Opioids,2025-11-18,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-guilty-plea-from-dracut-physician-charged-with-involuntary-manslaughter-and-illegally-prescribing-opioids-2/
Nine Medicaid Providers Facing Fraud Charges,2025-11-18,State Enforcement Agencies,/fraud/enforcement/nine-medicaid-providers-facing-fraud-charges/
"Attorney General Alan Wilson announces arrest of Upstate woman for allegedly stealing $67,000 from nursing home resident",2025-11-18,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-upstate-woman-for-allegedly-stealing-67000-from-nursing-home-resident/
CVS Pharmacy Inc. Pays $18.2 Million to Resolve Alleged False Claims Act Violations,2025-11-17,Criminal and Civil Actions,/fraud/enforcement/cvs-pharmacy-inc-pays-182-million-to-resolve-alleged-false-claims-act-violations/
"Attorney General Alan Wilson announces Upstate couple charged with neglecting and stealing almost $330,000 from vulnerable adult",2025-11-17,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-couple-charged-with-neglecting-and-stealing-almost-330000-from-vulnerable-adult/
Attorney General Ken Paxton Arrests Illegal Alien Who Stole Texas Child’s Identity And Medicaid Benefits,2025-11-12,State Enforcement Agencies,/fraud/enforcement/attorney-general-ken-paxton-arrests-illegal-alien-who-stole-texas-childs-identity-and-medicaid-benefits/
AG Murrill’s Medicaid Fraud Control Unit Secures Guilty Plea Against Man Who Hit An Intellectually Disabled Person With A Broomstick Multiple Times,2025-11-07,State Enforcement Agencies,/fraud/enforcement/ag-murrills-medicaid-fraud-control-unit-secures-guilty-plea-against-man-who-hit-an-intellectually-disabled-person-with-a-broomstick-multiple-times/
Delta County Woman Pleads Guilty to Medicaid Fraud,2025-11-04,State Enforcement Agencies,/fraud/enforcement/delta-county-woman-pleads-guilty-to-medicaid-fraud/
"AG's Office Secures $175,000 from Fall River Pediatrician for Submitting False Claims to MassHealth",2025-11-04,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-175000-from-fall-river-pediatrician-for-submitting-false-claims-to-masshealth/
"Attorney General’s Medicaid Fraud and Vulnerable Victims Unit Secures a $200,000 Settlement and Corporate Oversight of Patapsco Healthcare",2025-11-04,State Enforcement Agencies,/fraud/enforcement/attorney-generals-medicaid-fraud-and-vulnerable-victims-unit-secures-a-200000-settlement-and-corporate-oversight-of-patapsco-healthcare/
Attorney General Griffin Announces 2 Arrests for Medicaid Fraud,2025-11-04,State Enforcement Agencies,/fraud/enforcement/attorney-general-griffin-announces-2-arrests-for-medicaid-fraud/
Group Home Operator and Employees Charged with Neglect of Elderly Resident,2025-11-03,State Enforcement Agencies,/fraud/enforcement/group-home-operator-and-employees-charged-with-neglect-of-elderly-resident/
"Affiliated Pharmacies To Pay More Than $150,000 For False Claims Act Allegations",2025-10-29,COVID-19,/fraud/enforcement/affiliated-pharmacies-to-pay-more-than-150000-for-false-claims-act-allegations/
Indianapolis man charged with 43 counts of Medicaid fraud after billing for more than $2.7 million,2025-10-28,State Enforcement Agencies,/fraud/enforcement/indianapolis-man-charged-with-43-counts-of-medicaid-fraud-after-billing-for-more-than-27-million/
Oregon DOJ Successfully Places Private Care Agency on Probation in Medicaid Fraud Case,2025-10-28,State Enforcement Agencies,/fraud/enforcement/oregon-doj-successfully-places-private-care-agency-on-probation-in-medicaid-fraud-case/
AG's Office Secures Indictments Against Worcester-Based Temporary Nurse Staffing Agency and Owner For Defrauding Nursing Homes And Putting Patients At Risk With Uncertified Aides,2025-10-27,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-indictments-against-worcester-based-temporary-nurse-staffing-agency-and-owner-for-defrauding-nursing-homes-and-putting-patients-at-risk-with-uncertified-aides/
Attorney General James Uthmeier Announces Historic Accreditation of the Medicaid Fraud Control Unit,2025-10-23,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-uthmeier-announces-historic-accreditation-of-the-medicaid-fraud-control-unit/
Two Plead Guilty To Medicaid Fraud In Case Attorney General Ellison Investigated Jointly With U.S. Attorney’s Office,2025-10-22,State Enforcement Agencies,/fraud/enforcement/two-plead-guilty-to-medicaid-fraud-in-case-attorney-general-ellison-investigated-jointly-with-us-attorneys-office/
"Attorney General Alan Wilson Announces Guilty Plea, Prison Sentence For Woman Who Kept Vulnerable Adults Locked Up In Unlicensed Home",2025-10-22,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-guilty-plea-prison-sentence-for-woman-who-kept-vulnerable-adults-locked-up-in-unlicensed-home/
Attorney General Griffin Announces 7 Arrests Made by His Medicaid Fraud Control Unit,2025-10-20,State Enforcement Agencies,/fraud/enforcement/attorney-general-griffin-announces-7-arrests-made-by-his-medicaid-fraud-control-unit/
Attorney General Raúl Torrez Recovers More Than $1.5 Million from Former New Mexico State Police Officer Charged in Substance Abuse Recovery Scheme,2025-10-16,State Enforcement Agencies,/fraud/enforcement/attorney-general-raul-torrez-recovers-more-than-15-million-from-former-new-mexico-state-police-officer-charged-in-substance-abuse-recovery-scheme/
"Eight Medicaid Providers Indicted, Accused of Phantom Billing",2025-10-16,State Enforcement Agencies,/fraud/enforcement/eight-medicaid-providers-indicted-accused-of-phantom-billing/
"Attorney General Alan Wilson announces Spartanburg man charged with stealing more than $10,000 from vulnerable adult",2025-10-16,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-man-charged-with-stealing-more-than-10000-from-vulnerable-adult/
Fawn Gobis Sentenced for Theft and Medicaid Fraud,2025-10-15,State Enforcement Agencies,/fraud/enforcement/fawn-gobis-sentenced-for-theft-and-medicaid-fraud/
TennCare Fraud Investigation Leads to Arrest of Former Shelby County Home Care Operator,2025-10-14,State Enforcement Agencies,/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrest-of-former-shelby-county-home-care-operator/
AG’s Office Secures Guilty Plea From Leominster Woman For Posing As Caregiver To Steal From Elderly Victims In Worcester And Middlesex Counties,2025-10-14,State Enforcement Agencies,/fraud/enforcement/ags-office-secures-guilty-plea-from-leominster-woman-for-posing-as-caregiver-to-steal-from-elderly-victims-in-worcester-and-middlesex-counties/
Three Charged with Medicaid Fraud in Alleged Transportation Scheme,2025-10-09,State Enforcement Agencies,/fraud/enforcement/three-charged-with-medicaid-fraud-in-alleged-transportation-scheme/
"Nursing Director Indicted for Assaulting Resident at Rehabilitation Center, Attempted Cover-Up",2025-10-08,State Enforcement Agencies,/fraud/enforcement/nursing-director-indicted-for-assaulting-resident-at-rehabilitation-center-attempted-cover-up/
Attorney General Hanaway Secures Felony Indictments In Four Major Medicaid Fraud Cases In St. Louis,2025-10-03,State Enforcement Agencies,/fraud/enforcement/attorney-general-hanaway-secures-felony-indictments-in-four-major-medicaid-fraud-cases-in-st-louis/
"Attorney General Alan Wilson announces arrest of Horry Co. case manager for forgery, Medicaid fraud",2025-10-03,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-horry-co-case-manager-for-forgery-medicaid-fraud/
Attorney General Alan Wilson announces two Columbia women charged with stealing from vulnerable adult,2025-10-03,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-two-columbia-women-charged-with-stealing-from-vulnerable-adult/
"AG Sunday: Philadelphia Pharmacy Pleads Guilty, Will Pay $2.3M Restitution for Medicaid Fraud Scheme Involving Unregulated HIV Meds",2025-10-01,State Enforcement Agencies,/fraud/enforcement/ag-sunday-philadelphia-pharmacy-pleads-guilty-will-pay-23m-restitution-for-medicaid-fraud-scheme-involving-unregulated-hiv-meds/
Bethel Psychologist Charged with Medicaid Fraud,2025-10-01,State Enforcement Agencies,/fraud/enforcement/bethel-psychologist-charged-with-medicaid-fraud/
Attorney General Griffin Announces Conviction of Little Rock Woman for Medicaid Fraud,2025-09-26,State Enforcement Agencies,/fraud/enforcement/attorney-general-griffin-announces-conviction-of-little-rock-woman-for-medicaid-fraud/
"Attorney General Alan Wilson announces Spartanburg man charged with stealing nearly $275,000 from nursing home resident",2025-09-26,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-man-charged-with-stealing-nearly-275000-from-nursing-home-resident/
"Attorney General Alan Wilson Announces Union Woman Charged With Stealing More Than $54,000 From Assisted Living Resident",2025-09-26,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-union-woman-charged-with-stealing-more-than-54000-from-assisted-living-resident/
Attorney General Alan Wilson Announces Rock Hill Counselor Charged With Medicaid Fraud,2025-09-25,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-rock-hill-counselor-charged-with-medicaid-fraud/
Attorney General James Uthmeier Announces $3 Million Settlement Agreement With Gilead Sciences To Resolve Improper Promotion Of HIV Drugs,2025-09-24,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-uthmeier-announces-3-million-settlement-agreement-with-gilead-sciences-to-resolve-improper-promotion-of-hiv-drugs/
Houston woman arrested by AG Murrill's Louisiana Bureau of Investigation for defrauding Medicaid program of approximately $4600,2025-09-24,State Enforcement Agencies,/fraud/enforcement/houston-woman-arrested-by-ag-murrills-louisiana-bureau-of-investigation-for-defrauding-medicaid-program-of-approximately-4600/
Attorney General Ellison Partners With Federal Law Enforcement In Medicaid Fraud Charges Against Asha Hassan,2025-09-24,State Enforcement Agencies,/fraud/enforcement/attorney-general-ellison-partners-with-federal-law-enforcement-in-medicaid-fraud-charges-against-asha-hassan/
"Essex County Man Charged with Submitting Thousands of False Bills to Medicaid, Stealing More than $3 Million",2025-09-23,State Enforcement Agencies,/fraud/enforcement/essex-county-man-charged-with-submitting-thousands-of-false-bills-to-medicaid-stealing-more-than-3-million/
Justice Department Expands Health Care Fraud Unit to Target Health Care Fraud in Massachusetts,2025-09-23,Criminal and Civil Actions,/fraud/enforcement/justice-department-expands-health-care-fraud-unit-to-target-health-care-fraud-in-massachusetts/
"Davidson County Caregiver Arrested, Charged with Theft, Identity Theft, and Financial Exploitation of an Elderly or Vulnerable Person",2025-09-22,State Enforcement Agencies,/fraud/enforcement/davidson-county-caregiver-arrested-charged-with-theft-identity-theft-and-financial-exploitation-of-an-elderly-or-vulnerable-person/
"Couple arrested by AG Murrill's Office for defrauding Medicaid program of more than $59,000 and Filing or Maintaining False Public Records",2025-09-19,State Enforcement Agencies,/fraud/enforcement/couple-arrested-by-ag-murrills-office-for-defrauding-medicaid-program-of-more-than-59000-and-filing-or-maintaining-false-public-records/
Ocean County Nurse Charged with Assaulting Elderly Nursing Home Resident,2025-09-16,State Enforcement Agencies,/fraud/enforcement/ocean-county-nurse-charged-with-assaulting-elderly-nursing-home-resident/
AG Campbell Secures Guilty Plea From Ringleader Of Worcester-Based Home Health Fraud Scheme Exploiting Vulnerable Residents,2025-09-15,State Enforcement Agencies,/fraud/enforcement/ag-campbell-secures-guilty-plea-from-ringleader-of-worcester-based-home-health-fraud-scheme-exploiting-vulnerable-residents/
Attorney General Ellison partners with federal law enforcement on indictments of Housing Stabilization Services providers,2025-09-15,State Enforcement Agencies,/fraud/enforcement/attorney-general-ellison-partners-with-federal-law-enforcement-on-indictments-of-housing-stabilization-services-providers/
Memphis Woman Charged with Abuse of Vulnerable Adult,2025-09-11,State Enforcement Agencies,/fraud/enforcement/memphis-woman-charged-with-abuse-of-vulnerable-adult-1/
Doctor and Urgent Care Clinic Settle Allegations Over Medicaid Fraud,2025-09-09,State Enforcement Agencies,/fraud/enforcement/doctor-and-urgent-care-clinic-settle-allegations-over-medicaid-fraud/
Randolph Personal Care Attendant Sentenced To 18 Months In Jail For Defrauding MassHealth,2025-09-08,State Enforcement Agencies,/fraud/enforcement/randolph-personal-care-attendant-sentenced-to-18-months-in-jail-for-defrauding-masshealth/
Office of Attorney General’s Role in Investigating Owner of Pittsburgh Facility for Intellectually Disabled Adults Leads to Federal Plea to Health Care Fraud,2025-09-08,State Enforcement Agencies,/fraud/enforcement/office-of-attorney-generals-role-in-investigating-owner-of-pittsburgh-facility-for-intellectually-disabled-adults-leads-to-federal-plea-to-health-care-fraud/
Former Nurse Charged with Impersonating Licensed Professional and Fraudulently Obtaining a Controlled Substance,2025-09-07,State Enforcement Agencies,/fraud/enforcement/former-nurse-charged-with-impersonating-licensed-professional-and-fraudulently-obtaining-a-controlled-substance/
Hawaii County Woman Charged With Labor Trafficking,2025-09-03,State Enforcement Agencies,/fraud/enforcement/hawaii-county-woman-charged-with-labor-trafficking/
Attorney General James Uthmeier Announces Arrest of Certified Nursing Assistant for Elder Abuse,2025-08-28,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-uthmeier-announces-arrest-of-certified-nursing-assistant-for-elder-abuse/
Attorney General Ra˙l Torrez Charges Imposter Nurse Who Nearly Caused Fatal Dose of Morphine,2025-08-28,State Enforcement Agencies,/fraud/enforcement/attorney-general-ra-l-torrez-charges-imposter-nurse-who-nearly-caused-fatal-dose-of-morphine/
AG Campbell Secures $12.25 Million Settlement With CVS For Failure To Comply With MassHealth Prescription Drug Pricing Regulations,2025-08-27,State Enforcement Agencies,/fraud/enforcement/ag-campbell-secures-1225-million-settlement-with-cvs-for-failure-to-comply-with-masshealth-prescription-drug-pricing-regulations/
"Attorney General Marshall Announces Conviction of Former State Employee for the Theft of Over $100,000 from Alabama Medicaid Agency",2025-08-26,State Enforcement Agencies,/fraud/enforcement/attorney-general-marshall-announces-conviction-of-former-state-employee-for-the-theft-of-over-100000-from-alabama-medicaid-agency/
Danville Woman Sentenced for Health Care Fraud,2025-08-25,State Enforcement Agencies,/fraud/enforcement/danville-woman-sentenced-for-health-care-fraud-2/
Attorney General James Secures $12 Million and Major Reforms at Syracuse Nursing Home to Stop Resident Neglect and Financial Fraud,2025-08-25,State Enforcement Agencies,/fraud/enforcement/attorney-general-james-secures-12-million-and-major-reforms-at-syracuse-nursing-home-to-stop-resident-neglect-and-financial-fraud/
Attorney General Alan Wilson announces Spartanburg woman charged with stealing from vulnerable adult,2025-08-25,State Enforcement Agencies,/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-woman-charged-with-stealing-from-vulnerable-adult/
Three Baton Rouge Individuals Sentenced To Federal Prison In Connection With The Department Of Justice’s 2024 National Health Care Fraud Enforcement Action,2025-08-21,COVID-19,/fraud/enforcement/three-baton-rouge-individuals-sentenced-to-federal-prison-in-connection-with-the-department-of-justices-2024-national-health-care-fraud-enforcement-action/
AG Murrill's Medicaid Fraud Control Unit Arrests Baton Rouge Woman For Failing To Report The Physical Abuse Of A Mentally Challenged Client As Required By Law,2025-08-21,State Enforcement Agencies,/fraud/enforcement/ag-murrills-medicaid-fraud-control-unit-arrests-baton-rouge-woman-for-failing-to-report-the-physical-abuse-of-a-mentally-challenged-client-as-required-by-law/
Attorney General Griffin Announces Two Convictions and One Arrest by Medicaid Fraud Control Unit,2025-08-15,State Enforcement Agencies,/fraud/enforcement/attorney-general-griffin-announces-two-convictions-and-one-arrest-by-medicaid-fraud-control-unit/
AG Murrill's Medicaid Fraud Control Unit Arrests Slidell Woman For Cruel Attack On An Individual With A Disability Under Her Care,2025-08-15,State Enforcement Agencies,/fraud/enforcement/ag-murrills-medicaid-fraud-control-unit-arrests-slidell-woman-for-cruel-attack-on-an-individual-with-a-disability-under-her-care/
